City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,lockwood,45.8191,-108.4149,9.8,71,0,5.66,US,1697956826
170,baie-comeau,49.2168,-68.1489,11.82,94,100,4.12,CA,1697956826
171,qaqortoq,60.7167,-46.0333,0.06,48,99,2.8,GL,1697956827
172,falam,22.9167,93.6833,21.16,76,82,1.39,MM,1697956827
173,port mathurin,-19.6833,63.4167,24.68,81,0,4.17,MU,1697956828
174,celestun,20.8667,-90.4,23.4,79,11,5.19,MX,1697956829
175,acajutla,13.5928,-89.8275,25.14,88,97,2.21,SV,1697956758
176,birsk,55.4211,55.5428,0.83,65,91,6.58,RU,1697956830
177,uturoa,-16.7333,-151.4333,26.41,80,100,4.3,PF,1697956831
178,tejen,37.3834,60.5054,25.17,32,2,3.52,TM,1697956831
179,punta arenas,-53.15,-70.9167,4.06,87,75,5.66,CL,1697956772
180,tymovskoye,50.8456,142.655,0.66,70,65,2.53,RU,1697956833
181,nantucket,41.2835,-70.0995,14.08,74,0,11.32,US,1697956682
182,kailua-kona,19.6406,-155.9956,23.11,98,79,1.03,US,1697956834
183,ingeniero jacobacci,-41.3427,-69.5448,10.91,70,6,2.54,AR,1697956835
184,vorgashor,67.5833,63.95,-6.16,90,16,4.96,RU,1697956836
185,susuman,62.7833,148.1667,-8.97,95,100,1.71,RU,1697956836
186,paita,-5.0892,-81.1144,20.67,84,28,5.2,PE,1697956586
187,albertina,-22.2008,-46.6158,15.95,94,8,2.26,BR,1697956837
188,copala,16.65,-98.9833,25.09,88,73,1.33,MX,1697956838
189,chekmagush,55.1319,54.6556,0.76,66,94,6.9,RU,1697956838
190,tindouf,27.6711,-8.1474,16.25,67,0,4.12,DZ,1697956839
191,constitucion,-35.3333,-72.4167,11.55,91,100,3.86,CL,1697956840
192,st. john's,47.5649,-52.7093,16.75,96,100,4.63,CA,1697956840
193,richards bay,-28.783,32.0377,19.6,87,100,5.98,ZA,1697956841
194,new norfolk,-42.7826,147.0587,15.95,85,93,1.72,AU,1697956841
195,odda,60.0691,6.5457,9.32,88,99,4.64,NO,1697956842
196,vilyuchinsk,52.9306,158.4028,9.15,63,100,3.32,RU,1697956842
197,garden city,42.3256,-83.331,8.0,79,75,4.12,US,1697956727
198,polyarnyy,69.1989,33.4478,0.93,87,100,6.66,RU,1697956843
199,aasiaat,68.7098,-52.8699,-7.97,89,96,1.93,GL,1697956844
200,udachny,66.4167,112.4,-3.08,68,99,1.79,RU,1697956844
201,san patricio,28.017,-97.5169,26.92,81,100,3.48,US,1697956845
202,kudat,6.8837,116.8477,31.96,70,20,3.13,MY,1697956846
203,enshi,30.3,109.4833,22.7,53,6,0.83,CN,1697956597
204,nuku'alofa,-21.1333,-175.2,25.19,88,20,4.63,TO,1697956847
205,laem sing,12.4816,102.0738,33.19,77,100,1.15,TH,1697956847
206,kingscliff,-28.2667,153.5667,26.54,65,4,10.29,AU,1697956848
207,flagstaff,35.1981,-111.6513,14.81,45,0,1.54,US,1697956848
208,erenhot,43.6475,111.9767,16.71,18,0,6.59,CN,1697956849
209,kapuskasing,49.4169,-82.4331,1.05,93,100,3.6,CA,1697956849
210,calama,-22.4667,-68.9333,15.27,41,0,4.63,CL,1697956850
211,unai,-16.3575,-46.9061,24.16,71,19,1.79,BR,1697956850
212,eraan,9.0629,117.7016,29.25,76,100,2.26,PH,1697956851
213,mucumpiz,8.4167,-71.1333,13.18,95,100,0.88,VE,1697956852
214,mafinga,-7.25,35.0667,28.88,33,46,2.56,TZ,1697956852
215,sitka,57.0531,-135.33,5.94,70,20,6.69,US,1697956652
216,igarka,67.4667,86.5833,-0.79,80,100,5.06,RU,1697956853
